"States / Union Territories","All Categories - Pre-Primary - Boys","All Categories - Pre-Primary - Girls","All Categories - Pre-Primary - Total","All Categories - Class I - Boys","All Categories - Class I - Girls","All Categories - Class I - Total","All Categories - Class II - Boys","All Categories - Class II - Girls","All Categories - Class II - Total","All Categories - Class III - Boys","All Categories - Class III - Girls","All Categories - Class III - Total","All Categories - Class IV - Boys","All Categories - Class IV - Girls","All Categories - Class IV - Total","All Categories - Class V - Boys","All Categories - Class V - Girls","All Categories - Class V - Total","All Categories - TOTALClass I - V - Boys","All Categories - TOTALClass I - V - Girls","All Categories - TOTALClass I - V - Total","All Categories - Class VI - Boys","All Categories - Class VI - Girls","All Categories - Class VI - Total","All Categories - Class VII - Boys","All Categories - Class VII - Girls","All Categories - Class VII - Total","All Categories - Class VIII - Boys","All Categories - Class VIII - Girls","All Categories - Class VIII - Total","All Categories - TOTALClass VI - VIII - Boys","All Categories - TOTALClass VI - VIII - Girls","All Categories - TOTALClass VI - VIII - Total","All Categories - TOTALClass I - VIII - Boys","All Categories - TOTALClass I - VIII - Girls","All Categories - TOTALClass I - VIII - Total","All Categories - Class IX - Boys","All Categories - Class IX - Girls","All Categories - Class IX - Total","All Categories - Class X - Boys","All Categories - Class X - Girls","All Categories - Class X - Total","All Categories - TOTALClass IX-X - Boys","All Categories - TOTALClass IX-X - Girls","All Categories - TOTALClass IX-X - Total","All Categories - TOTALClass I-X - Boys","All Categories - TOTALClass I-X - Girls","All Categories - TOTALClass I-X - Total","All Categories - Class XI - Boys","All Categories - Class XI - Girls","All Categories - Class XI - Total","All Categories - Class XII - Boys","All Categories - Class XII - Girls","All Categories - Class XII - Total","All Categories - TOTALClass XI- XII - Boys","All Categories - TOTALClass XI- XII - Girls","All Categories - TOTALClass XI- XII - Total","All Categories - TOTALClass I- XII - Boys","All Categories - TOTALClass I- XII - Girls","All Categories - TOTALClass I- XII - Total","All Categories - GrandTotal-Pre-Primary- XII - Boys","All Categories - GrandTotal-Pre-Primary- XII - Girls","All Categories - GrandTotal-Pre-Primary- XII - Total"
Maharashtra,1259699,1107107,2366806,1074911,959139,2034050,1090418,979473,2069891,1119700,1002478,2122178,1098148,975039,2073187,1088301,949582,2037883,5471478,4865711,10337189,1079402,948878,2028280,1062109,933412,1995521,980915,843986,1824901,3122426,2726276,5848702,8593904,7591987,16185891,875470,750368,1625838,800025,691140,1491165,1675495,1441508,3117003,10269399,9033495,19302894,656042,521234,1177276,643178,511014,1154192,1299220,1032248,2331468,11568619,10065743,21634362,12828318,11172850,24001168
Manipur,59658,50723,110381,48337,47886,96223,38198,38135,76333,32900,32779,65679,30167,29261,59428,29133,28292,57425,178735,176353,355088,23778,23831,47609,22615,23523,46138,22708,22504,45212,69101,69858,138959,247836,246211,494047,16662,17241,33903,15628,15796,31424,32290,33037,65327,280126,279248,559374,8869,8323,17192,11190,9944,21134,20059,18267,38326,300185,297515,597700,359843,348238,708081
Meghalaya,127896,124656,252552,77813,75409,153222,56138,55324,111462,48618,49580,98198,40713,42760,83473,33442,36545,69987,256724,259618,516342,35223,39566,74789,29765,33671,63436,24154,26895,51049,89142,100132,189274,345866,359750,705616,20356,23144,43500,15885,18602,34487,36241,41746,77987,382107,401496,783603,4614,5989,10603,4063,5154,9217,8677,11143,19820,390784,412639,803423,518680,537295,1055975
Mizoram,20884,19462,40346,19654,17926,37580,15766,14138,29904,14580,13339,27919,13581,12184,25765,12135,11368,23503,75716,68955,144671,11644,10589,22233,11407,10156,21563,10575,9852,20427,33626,30597,64223,109342,99552,208894,9433,9271,18704,8530,8934,17464,17963,18205,36168,127305,117757,245062,4700,4608,9308,5494,5448,10942,10194,10056,20250,137499,127813,265312,158383,147275,305658
Nagaland,62459,54609,117068,28379,25849,54228,25200,24649,49849,22954,21110,44064,19817,18517,38334,17451,15878,33329,113801,106003,219804,15717,15796,31513,15270,14120,29390,15117,14206,29323,46104,44122,90226,159905,150125,310030,13209,12933,26142,9969,9899,19868,23178,22832,46010,183083,172957,356040,7009,6306,13315,6085,5703,11788,13094,12009,25103,196177,184966,381143,258636,239575,498211
Odisha,NA,NA,NA,491811,455756,947567,486923,454367,941290,450109,410793,860902,434697,410793,845490,421566,421566,843132,2285106,2153275,4438381,350275,350275,700550,353283,335437,688720,285786,252742,538528,989344,938454,1927798,3274450,3091729,6366179,288738,257092,545830,233877,221646,455523,522615,478738,1001353,3797065,3570467,7367532,129029,86020,215049,123967,82649,206616,252996,168669,421665,4050061,3739136,7789197,4050061,3739136,7789197
Punjab,NA,NA,NA,302679,248096,550775,302907,247491,550398,283183,230988,514171,273283,216463,489746,270506,212003,482509,1432558,1155041,2587599,263217,206140,469357,274885,212065,486950,248795,196207,445002,786897,614412,1401309,2219455,1769453,3988908,251796,197112,448908,214275,176993,391268,466071,374105,840176,2685526,2143558,4829084,163928,135350,299278,138075,121862,259937,302003,257212,559215,2987529,2400770,5388299,2987529,2400770,5388299
Rajasthan,368715,262021,630736,1065973,930779,1996752,1021771,930801,1952572,898382,807464,1705846,816206,715651,1531857,787667,682466,1470133,4589999,4067161,8657160,712266,585676,1297942,697058,560011,1257069,657837,527164,1185001,2067161,1672851,3740012,6657160,5740012,12397172,670775,450979,1121754,593488,387573,981061,1264263,838552,2102815,7921423,6578564,14499987,420869,258986,413722,413722,241780,655502,834591,500766,1335357,8756014,7079330,15835344,9124729,7341351,16466080
Sikkim,NA,NA,NA,7432,6988,14420,9392,8889,18281,7623,7462,15085,7798,7739,15537,7659,7793,15452,39904,38871,78775,7251,7917,15168,5890,6931,12821,5145,6098,11243,18286,20946,39232,58190,59817,118007,4282,5082,9364,3452,4061,7513,7734,9143,16877,65924,68960,134884,2599,2993,5592,2044,2452,4496,4643,5445,10088,70567,74405,144972,70567,74405,144972
"Tamil Nadu",401159,382958,784117,668627,641356,1309983,644270,629820,1274090,664068,643745,1307813,693245,664668,1357913,728128,690470,1418598,3398338,3270059,6668397,686592,650640,1337232,649487,607691,1257178,643884,619359,1263243,1979963,1877690,3857653,5378301,5147749,10526050,526648,491677,1018325,423837,431827,855664,950485,923504,1873989,6328786,6071253,12400039,271478,312618,584096,272336,327800,600136,543814,640418,1184232,6872600,6711671,13584271,7273759,7094629,14368388
